epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1072.84,0.48716,0.44756,1.06316,0.83415,0.80428,0.92618,0.84355,0.50191,0.76431,1.0999,0.005743,0.005743,0.005743
45,1096.9,0.4779,0.43914,1.05814,0.73763,0.82999,0.91321,0.85014,0.49787,0.75711,1.07768,0.005644,0.005644,0.005644
46,1121.12,0.47251,0.42454,1.05382,0.86112,0.91468,0.91116,0.84247,0.4907,0.68197,1.08209,0.005545,0.005545,0.005545
47,1145.34,0.46713,0.42689,1.05153,0.81356,0.84621,0.92823,0.85165,0.51871,0.64519,1.11111,0.005446,0.005446,0.005446
48,1169.32,0.46342,0.43127,1.04795,0.86141,0.86346,0.93305,0.86939,0.48251,0.64446,1.06364,0.005347,0.005347,0.005347
49,1193.76,0.45423,0.42563,1.03695,0.85884,0.82279,0.90066,0.8416,0.47222,0.69238,1.06855,0.005248,0.005248,0.005248
50,1217.99,0.4537,0.42367,1.0435,0.90165,0.85245,0.94359,0.8767,0.47734,0.6181,1.0704,0.005149,0.005149,0.005149
51,1241.88,0.45378,0.41554,1.0447,0.85985,0.87398,0.93029,0.86492,0.48661,0.61592,1.07429,0.00505,0.00505,0.00505
52,1266.31,0.45867,0.4136,1.04451,0.87823,0.82274,0.89454,0.82935,0.46565,0.75261,1.05517,0.004951,0.004951,0.004951
53,1290.35,0.44318,0.40488,1.03027,0.89907,0.84785,0.93003,0.85978,0.45114,0.62891,1.03792,0.004852,0.004852,0.004852
54,1314.41,0.45345,0.40902,1.04041,0.8349,0.82809,0.91384,0.85945,0.45237,0.69791,1.0336,0.004753,0.004753,0.004753
55,1338.68,0.43832,0.39047,1.02878,0.83259,0.83321,0.86054,0.79484,0.47678,0.68543,1.06936,0.004654,0.004654,0.004654
56,1362.68,0.43528,0.39444,1.02636,0.86182,0.92637,0.91991,0.86232,0.4576,0.62764,1.03547,0.004555,0.004555,0.004555
57,1386.96,0.43044,0.3854,1.01776,0.87984,0.87486,0.89012,0.83653,0.45612,0.78666,1.04564,0.004456,0.004456,0.004456
58,1410.98,0.44315,0.39473,1.03273,0.739,0.83988,0.90089,0.84127,0.4628,0.78803,1.0445,0.004357,0.004357,0.004357
59,1435.22,0.42926,0.39051,1.0152,0.88876,0.89895,0.91378,0.8443,0.455,0.699,1.0292,0.004258,0.004258,0.004258
60,1459.18,0.43211,0.3822,1.01924,0.87223,0.86938,0.93654,0.8611,0.48944,0.67734,1.09888,0.004159,0.004159,0.004159
61,1483.62,0.41994,0.3781,1.01678,0.87714,0.88653,0.91175,0.85563,0.45463,0.71204,1.03332,0.00406,0.00406,0.00406
62,1507.71,0.42403,0.38387,1.02165,0.89424,0.90605,0.92379,0.87679,0.42528,0.59438,0.9987,0.003961,0.003961,0.003961
63,1531.98,0.41815,0.37615,1.01269,0.90436,0.87599,0.91234,0.86445,0.41966,0.63555,1.00492,0.003862,0.003862,0.003862
64,1556.22,0.42069,0.36666,1.01491,0.88665,0.88222,0.91677,0.85973,0.44622,0.68282,1.03069,0.003763,0.003763,0.003763
65,1580.25,0.42281,0.3666,1.01037,0.89446,0.90047,0.93856,0.88148,0.44954,0.56309,1.03642,0.003664,0.003664,0.003664
66,1604.55,0.41683,0.3651,0.99983,0.88109,0.89402,0.93473,0.87755,0.43633,0.60323,1.01387,0.003565,0.003565,0.003565
67,1628.77,0.40828,0.3538,1.00132,0.88291,0.89697,0.92303,0.86318,0.46517,0.66949,1.05005,0.003466,0.003466,0.003466
68,1653.08,0.40097,0.33851,0.99606,0.90831,0.92603,0.94286,0.88949,0.42585,0.57048,0.99982,0.003367,0.003367,0.003367
69,1677.3,0.40423,0.34782,0.99547,0.8611,0.88557,0.9197,0.85334,0.45096,0.65813,1.02312,0.003268,0.003268,0.003268
70,1701.32,0.40331,0.34336,0.99989,0.91011,0.87503,0.92763,0.86884,0.43978,0.60035,1.02404,0.003169,0.003169,0.003169
71,1725.25,0.40449,0.3443,0.99955,0.88475,0.91998,0.91848,0.86082,0.43814,0.68068,1.01908,0.00307,0.00307,0.00307
72,1749.4,0.39674,0.33919,0.99988,0.89447,0.87198,0.95159,0.88606,0.45728,0.55069,1.05366,0.002971,0.002971,0.002971
73,1773.54,0.40306,0.34197,1.00405,0.89099,0.90768,0.9298,0.87525,0.43832,0.59783,1.02132,0.002872,0.002872,0.002872
74,1797.72,0.39262,0.34789,0.992,0.89101,0.85676,0.91949,0.86504,0.45039,0.65491,1.03537,0.002773,0.002773,0.002773
75,1822.05,0.38821,0.32855,0.98922,0.89141,0.88588,0.92618,0.87486,0.42197,0.64179,1.00375,0.002674,0.002674,0.002674
76,1846.25,0.38715,0.32376,0.98732,0.8788,0.91266,0.9286,0.87951,0.42825,0.59599,1.01085,0.002575,0.002575,0.002575
77,1870.56,0.38056,0.3242,0.98658,0.84335,0.87272,0.91061,0.85472,0.45253,0.77077,1.03283,0.002476,0.002476,0.002476
78,1894.72,0.38546,0.33214,0.98967,0.89838,0.90186,0.9435,0.89008,0.42674,0.569,1.00157,0.002377,0.002377,0.002377
79,1919.2,0.38445,0.32331,0.98773,0.90265,0.92346,0.9207,0.86703,0.42091,0.58873,1.00082,0.002278,0.002278,0.002278
80,1943.4,0.38001,0.32053,0.98752,0.86592,0.91543,0.94725,0.89351,0.43092,0.58221,1.01204,0.002179,0.002179,0.002179
81,1967.35,0.37451,0.31527,0.97626,0.86995,0.88556,0.94017,0.87976,0.42626,0.58159,1.00173,0.00208,0.00208,0.00208
82,1991.53,0.37663,0.31125,0.98037,0.89619,0.87871,0.93224,0.87608,0.43079,0.59819,1.01202,0.001981,0.001981,0.001981
83,2015.54,0.36968,0.3081,0.98141,0.91425,0.90183,0.94589,0.89682,0.42105,0.53342,1.00625,0.001882,0.001882,0.001882
84,2039.62,0.37476,0.30939,0.98536,0.90347,0.89414,0.93252,0.87966,0.42792,0.57743,1.00916,0.001783,0.001783,0.001783
85,2063.82,0.37276,0.30894,0.98873,0.89005,0.8692,0.93194,0.87658,0.43808,0.58852,1.02995,0.001684,0.001684,0.001684
86,2087.95,0.37204,0.31173,0.97938,0.91989,0.89443,0.94347,0.89152,0.42717,0.53801,1.01234,0.001585,0.001585,0.001585
87,2112.24,0.36894,0.29325,0.97466,0.91523,0.91378,0.94843,0.89601,0.42601,0.52631,1.00919,0.001486,0.001486,0.001486
88,2136.47,0.35894,0.29337,0.97027,0.91155,0.8945,0.9394,0.88614,0.43288,0.52766,1.0129,0.001387,0.001387,0.001387
89,2160.89,0.36243,0.29574,0.96854,0.92638,0.91234,0.94257,0.8916,0.42469,0.51901,1.00728,0.001288,0.001288,0.001288
90,2185.21,0.36285,0.29438,0.97454,0.9134,0.90419,0.92704,0.87997,0.41977,0.60199,0.99629,0.001189,0.001189,0.001189
91,2209.31,0.35813,0.29052,0.97124,0.91701,0.90585,0.93904,0.88661,0.42831,0.55656,1.01058,0.00109,0.00109,0.00109
92,2233.31,0.35921,0.29045,0.96941,0.91797,0.9162,0.94827,0.89699,0.41719,0.50429,1.00346,0.000991,0.000991,0.000991
93,2257.59,0.35337,0.28644,0.96793,0.90445,0.91878,0.93643,0.89053,0.41747,0.53358,1.00295,0.000892,0.000892,0.000892
94,2281.76,0.35525,0.28829,0.96923,0.83221,0.91407,0.93453,0.88646,0.41511,0.57644,0.99883,0.000793,0.000793,0.000793
95,2306.12,0.34763,0.28683,0.96978,0.88981,0.89011,0.92968,0.88396,0.40734,0.5912,0.9901,0.000694,0.000694,0.000694
96,2330.29,0.35317,0.28806,0.97264,0.90595,0.8789,0.93811,0.89195,0.40964,0.53333,0.99378,0.000595,0.000595,0.000595
97,2354.5,0.34467,0.27947,0.9624,0.90494,0.8866,0.93727,0.89146,0.40617,0.54116,0.99018,0.000496,0.000496,0.000496
98,2378.77,0.33745,0.27719,0.96296,0.92738,0.88548,0.93434,0.88836,0.41151,0.54229,0.9994,0.000397,0.000397,0.000397
99,2402.93,0.34696,0.27579,0.9648,0.89481,0.88288,0.93269,0.88234,0.41032,0.55554,1.00041,0.000298,0.000298,0.000298
100,2427.28,0.34107,0.26943,0.96382,0.86594,0.90746,0.93425,0.88682,0.40435,0.54192,0.99342,0.000199,0.000199,0.000199
